YEAR;DB;MATCHED_TITLES
1997.0;IEEE_X;1
2009.0;TAYFRA;1
2010.0;SCHOLA;1
2011.0;SCHOLA;3
2011.0;IEEE_X;2
2012.0;SCHOLA;3
2013.0;SCHOLA;2
2014.0;SCHOLA;2
2015.0;SCHOLA;4
2015.0;IEEE_X;1
2016.0;SCHOLA;4
2017.0;SCHOLA;1
2018.0;WILEYL;1
2019.0;IEEE_X;3
2019.0;SCHOLA;2
2019.0;SC_DIR;1
2019.0;TAYFRA;1
2020.0;SCHOLA;5
2020.0;SEMAN5;2
2020.0;SEMAN6;2
2020.0;SEMAN7;2
2020.0;IEEE_X;1
2020.0;SC_DIR;1
2020.0;SEMAN3;1
2020.0;SEMAN4;1
2021.0;SCHOLA;7
2021.0;IEEE_X;2
2021.0;SEMAN6;2
2021.0;SEMAN5;1
2021.0;TAYFRA;1
2022.0;SCHOLA;6
2022.0;IEEE_X;4
2022.0;SEMAN2;1
2022.0;SEMAN5;1
2022.0;SEMAN6;1
2022.0;SEMAN8;1
2023.0;IEEE_X;6
2023.0;SEMAN1;2
2023.0;SCHOLA;1
2023.0;SEMAN5;1
2023.0;SEMAN7;1
2024.0;IEEE_X;7
2024.0;SEMAN5;6
2024.0;SEMAN2;4
2024.0;SCHOLA;2
2024.0;SC_DIR;2
2024.0;SEMAN6;2
2024.0;SEMAN8;2
2024.0;SEMAN1;1
2024.0;SEMAN3;1
2024.0;SEMAN7;1
2025.0;SPRING;7
2025.0;SEMAN5;6
2025.0;SEMAN6;6
2025.0;SEMAN7;6
2025.0;SC_DIR;3
2025.0;SCHOLA;2
2025.0;SEMAN2;2
2025.0;SEMAN4;2
2025.0;SCOPUS;1
2025.0;SEMAN3;1
2025.0;SEMAN8;1
2026.0;SCOPUS;19
2026.0;IEEE_X;2
2026.0;SEMAN5;2
2026.0;SEMAN6;1
2026.0;SEMAN7;1
;SEMAN6;2
;SEMAN2;1
;SEMAN5;1
;TAYFRA;1
